,Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
8286,cba6ff36-7702-426c-9db6-a6f5f51a2a82,586629,Landing Page Submission,Google,No,No,1,3.0,1493,3.0,SMS Sent,India,Business Administration,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,SMS Sent
8330,f0d1a9ba-eeba-4ccf-9ab0-8f89e4f0d5a9,586293,Landing Page Submission,Google,No,No,1,4.0,981,2.0,Email Opened,India,Operations Management,Word Of Mouth,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
8343,6f93b685-df54-47c8-b0c6-11f11e6d902e,586175,Landing Page Submission,Google,No,No,0,6.0,1353,6.0,Email Opened,India,"Banking, Investment And Insurance",Word Of Mouth,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Mumbai,No,No,Modified
8389,704705b2-70e4-4c0f-ba98-b5cd5af1391b,585799,API,Google,No,No,1,9.0,38,1.8,Olark Chat Conversation,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Olark Chat Conversation
8415,d9a6b65d-6ff4-4d27-85d8-67756314fe03,585616,Landing Page Submission,Google,No,No,1,4.0,605,2.0,SMS Sent,India,Business Administration,Student of SomeSchool,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Cities,No,No,SMS Sent
8477,e6322f80-0a74-4eb1-9cb9-ffd79292c232,585140,Landing Page Submission,Google,No,No,0,3.0,278,3.0,Email Opened,India,Operations Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Other Leads,Mumbai,No,No,Email Opened
8574,c2ca4bd3-fcfe-4c99-a4cd-f0103b7dac0f,584310,Landing Page Submission,Google,No,No,1,3.0,401,3.0,SMS Sent,India,Finance Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,No,No,SMS Sent
8576,3dfaa6b8-268f-4971-add0-e0f2a2019fb1,584301,Landing Page Submission,Google,No,No,1,3.0,535,3.0,SMS Sent,India,Supply Chain Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,SMS Sent
8583,49b36cd5-87a3-4d5d-b5bc-fbe8226d2d3a,584274,Landing Page Submission,Google,No,No,1,5.0,1538,2.5,Email Opened,India,Marketing Management,Advertisements,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
8597,32d0a16f-50cd-464d-8312-b40213bc62a2,584160,Landing Page Submission,Google,No,No,1,8.0,1342,2.67,SMS Sent,India,Supply Chain Management,Student of SomeSchool,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,SMS Sent
8642,75cc4eae-a5ac-47e4-a101-a1e3e3a58240,583760,Landing Page Submission,Google,No,No,1,4.0,417,4.0,Form Submitted on Website,India,Finance Management,Student of SomeSchool,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
8671,3efe8da9-0253-4366-b371-96e24070d5a0,583612,Landing Page Submission,Direct Traffic,No,No,0,3.0,294,1.5,Email Opened,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Email Opened
8674,8341cbae-982b-411e-9c9e-7925acf80301,583595,Landing Page Submission,Google,No,No,0,3.0,88,3.0,SMS Sent,India,Marketing Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Thane & Outskirts,No,No,SMS Sent
8698,748303d9-d4b6-454e-9e1e-eee96bfe1e18,583471,Landing Page Submission,Google,No,No,0,1.0,456,1.0,Converted to Lead,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Not Sure,No,No,Potential Lead,Mumbai,No,No,Modified
8699,467f2c2b-46e9-438a-b798-60cc1b5e098a,583464,Landing Page Submission,Google,No,No,0,4.0,137,2.0,Email Opened,India,Business Administration,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Graduation in progress,Worst,No,No,Other Leads,Mumbai,No,No,Email Opened
8704,a36cedad-daf7-409c-a2de-5e7c5d5098f1,583435,Landing Page Submission,Google,No,No,1,2.0,1608,2.0,Email Link Clicked,India,"Banking, Investment And Insurance",Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
8707,d11173f9-dcd1-4f3b-b5a1-018faf34a31b,583421,Landing Page Submission,Google,No,No,0,7.0,600,2.33,Email Opened,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Email Opened
8730,bfecdf83-2dd9-40e5-9076-bc3db9151f4e,583208,Landing Page Submission,Direct Traffic,No,No,1,7.0,330,7.0,SMS Sent,India,International Business,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,Yes,SMS Sent
8734,81630f32-b521-4efc-bbb5-7c4dd3c176a8,583169,Landing Page Submission,Google,No,No,1,2.0,100,2.0,Email Opened,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
8737,d99d1124-6bc9-4b3c-8d90-3b40decaafde,583138,Landing Page Submission,Direct Traffic,No,No,0,4.0,304,1.33,Page Visited on Website,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Potential Lead,Mumbai,No,Yes,Page Visited on Website
8744,e404ab1f-238d-46e3-8b80-dc57095ef482,583088,Landing Page Submission,Google,No,No,0,4.0,30,4.0,Olark Chat Conversation,India,"Banking, Investment And Insurance",Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Potential Lead,Mumbai,No,No,Modified
8748,c3614f07-6830-49e6-8cac-76a9c9ae5d6b,583069,Landing Page Submission,Google,No,No,1,2.0,1041,2.0,SMS Sent,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Potential Lead,Thane & Outskirts,No,No,SMS Sent
8761,344e4892-3df3-41d9-9174-5406b285542d,582983,Landing Page Submission,Google,Yes,No,1,4.0,321,4.0,SMS Sent,India,Human Resource Management,Other,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,SMS Sent
8764,66ccf96e-7f0d-4cda-9de8-b766a4acde40,582942,Landing Page Submission,Google,No,No,0,4.0,1029,4.0,SMS Sent,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Mumbai,No,No,SMS Sent
8768,7b4a5b55-713b-4bc1-ab60-81603e476c97,582928,Landing Page Submission,Google,No,No,0,4.0,27,2.0,Email Opened,India,Business Administration,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,opp hangup,Not Sure,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
8780,c7a9f563-bb0c-4405-801f-84eb0879bc5f,582852,Landing Page Submission,Direct Traffic,No,No,0,2.0,90,2.0,Olark Chat Conversation,Germany,International Business,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Not Sure,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Modified
8785,df872839-0557-4a5f-93c3-2997b6c598f9,582798,Landing Page Submission,Direct Traffic,No,No,1,3.0,1325,1.5,Email Opened,India,Business Administration,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Email Opened
8792,eb5399d9-80ff-48ba-ac06-e03421d29d6c,582751,Landing Page Submission,Google,No,No,0,7.0,130,1.4,Email Opened,India,Supply Chain Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Mumbai,No,Yes,Email Opened
8800,85cb6721-b6d1-46f2-8f7b-a3836c4f25e0,582718,Landing Page Submission,Google,No,No,0,2.0,63,2.0,Form Submitted on Website,India,Marketing Management,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Graduation in progress,Not Sure,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Modified
8810,cecd3f1b-1e8d-43dc-a00a-00d68285c074,582654,Landing Page Submission,Google,No,No,0,5.0,1298,5.0,Email Opened,India,E-Business,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Not Sure,No,No,Potential Lead,Mumbai,No,No,Email Opened
8812,f3f3787b-0829-4cc0-974b-74cd38f3e812,582634,Landing Page Submission,Google,No,No,0,2.0,1124,2.0,SMS Sent,India,"Banking, Investment And Insurance",Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Potential Lead,Mumbai,No,No,SMS Sent
8815,c9ff1894-9e14-4929-b5e3-69e9141cff1c,582619,Landing Page Submission,Google,No,No,0,3.0,663,3.0,Email Opened,India,Marketing Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Email Opened
8821,3d3ba3d6-661d-418e-b5d1-74f617d4497c,582589,Landing Page Submission,Google,No,No,0,6.0,168,3.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Worst,No,No,Other Leads,Mumbai,No,No,Email Opened
8833,026ef78b-c843-4c87-9f3a-d6dbcfa4b255,582517,Landing Page Submission,Google,No,No,0,5.0,46,5.0,Email Opened,India,Finance Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Potential Lead,Thane & Outskirts,No,No,Modified
8845,c96e4f20-bcef-4d33-92c9-6ac91bf0dfaa,582406,Landing Page Submission,Google,No,No,0,2.0,391,2.0,Converted to Lead,India,Finance Management,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Graduation in progress,Worst,No,No,Other Leads,Mumbai,No,No,Modified
8850,8c00808e-3812-433a-bbd6-8fd7f35a7a77,582381,API,Google,No,No,1,5.0,952,5.0,Email Opened,India,Marketing Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
8854,2ed9c9ce-a4e2-46a9-a413-cb8944bb2c2e,582353,Landing Page Submission,Google,No,No,1,5.0,68,2.5,Unreachable,India,Operations Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,Modified
8865,ec578a97-afea-40ad-a053-42bc2ab4134b,582304,Landing Page Submission,Google,No,No,1,4.0,1341,4.0,SMS Sent,India,Business Administration,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,SMS Sent
8867,92b27be3-3150-4604-b38a-ab0077a9bbe2,582296,Landing Page Submission,Google,No,No,1,4.0,1268,4.0,Email Opened,India,Business Administration,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,Low in Relevance,No,No,Potential Lead,Other Metro Cities,No,No,Email Opened
8879,9d36933c-c4dc-4e10-b647-764a4754186b,582206,Landing Page Submission,Google,No,No,0,2.0,723,2.0,SMS Sent,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Mumbai,No,No,SMS Sent
8880,30c9d1dd-ea44-4560-a369-1b239d59d162,582199,Landing Page Submission,Google,No,No,1,2.0,1130,2.0,Had a Phone Conversation,India,E-Business,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,Had a Phone Conversation
8885,5adb7e20-394c-4be5-9447-2d31807f5724,582172,Landing Page Submission,Google,No,No,1,4.0,1340,2.0,Email Link Clicked,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Potential Lead,Mumbai,No,No,Modified
8906,8a96fc16-beb3-4b21-be8d-f4466a2f3fe1,582047,Landing Page Submission,Direct Traffic,No,No,1,6.0,1494,1.5,Form Submitted on Website,India,Retail Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,Not Sure,No,No,Potential Lead,Thane & Outskirts,No,Yes,Modified
8925,7543fd0b-8499-44f9-997c-b8e4642b039e,581908,Landing Page Submission,Direct Traffic,No,No,0,6.0,44,3.0,SMS Sent,India,Media and Advertising,Advertisements,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,invalid number,Worst,No,No,Potential Lead,Mumbai,No,No,SMS Sent
8927,0b60789c-1fc6-43e1-9b38-3ac96ef9e79d,581902,Landing Page Submission,Google,No,No,0,2.0,870,2.0,SMS Sent,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Potential Lead,Mumbai,No,No,SMS Sent
8934,ce2c9744-30c8-48b9-9718-1abc736f7007,581860,Landing Page Submission,Google,No,No,1,3.0,399,3.0,Email Link Clicked,India,Marketing Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Potential Lead,Thane & Outskirts,No,No,Modified
8949,86646089-7f14-4df2-9c28-75b0a6ff2d3c,581727,Landing Page Submission,Google,No,No,1,6.0,161,1.5,Email Opened,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Other Leads,Other Metro Cities,No,No,Email Opened
8975,0b911dd4-f150-4c72-be23-b48dc2f81640,581529,Landing Page Submission,Google,No,No,0,5.0,266,5.0,SMS Sent,India,"Banking, Investment And Insurance",Advertisements,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Potential Lead,Other Cities of Maharashtra,No,No,SMS Sent
8979,26176c40-6d24-4ca3-a8eb-2210712ca1ae,581511,Landing Page Submission,Google,No,No,0,6.0,195,6.0,SMS Sent,India,Marketing Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Mumbai,No,No,SMS Sent
8983,7c3f0ae6-bd4b-40bb-9634-d9f615db32fb,581489,Landing Page Submission,Google,No,No,0,4.0,34,4.0,Email Opened,India,Hospitality Management,Word Of Mouth,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
8995,bb94be8b-d6eb-4c20-a3cc-5d7c6cd8e598,581400,Landing Page Submission,Google,No,No,1,6.0,1048,3.0,SMS Sent,India,Retail Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Graduation in progress,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
9007,104cd71e-a2e1-488e-9589-c41bcfe0c370,581303,API,Google,No,No,1,4.0,673,2.0,Email Opened,India,Human Resource Management,Social Media,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
9017,e35a21a8-b165-43a6-82f2-e71605d6769a,581253,Landing Page Submission,Google,No,No,1,4.0,1291,4.0,Email Opened,India,International Business,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,Email Opened
9033,b7bb40de-230d-4a40-a2e8-1869caefdee2,581132,Landing Page Submission,Google,No,No,0,2.0,45,2.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Mumbai,No,No,Email Opened
9034,75596493-46f4-4864-9f64-3093d7d45dcf,581130,Landing Page Submission,Google,No,No,1,5.0,1276,1.67,SMS Sent,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,SMS Sent
9036,403eeb5e-8eb7-4364-9551-a4a9f1d09173,581126,Landing Page Submission,Google,No,No,0,4.0,10,4.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Mumbai,No,No,Email Opened
9037,196bf461-dbef-4c26-8876-12200442abae,581125,API,Google,No,No,1,7.0,953,3.5,Email Opened,India,"Banking, Investment And Insurance",Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Might be,No,No,Potential Lead,Mumbai,No,Yes,Modified
9044,3474dcd0-cf9d-4ef0-8466-2d9cca070a72,581051,API,Google,No,No,1,7.0,1524,1.4,Email Opened,India,Retail Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Potential Lead,Mumbai,No,No,Email Opened
9046,bcaed21b-1b09-4b4b-a07c-23eca948e0dc,581045,Landing Page Submission,Direct Traffic,No,No,1,7.0,1346,7.0,Email Opened,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Metro Cities,No,No,Email Opened
9063,0834be10-b119-48c5-9b16-df692dc02bbb,580876,API,Olark Chat,No,No,0,4.0,1540,1.33,Email Opened,India,Operations Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Not Sure,No,No,Potential Lead,Other Cities,No,No,Email Opened
9064,85e37e56-20ef-4205-a7fe-dd7e165569a0,580870,Landing Page Submission,Direct Traffic,No,No,1,4.0,1210,1.33,Email Opened,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Mumbai,No,Yes,Modified
9067,6754874e-a39a-4b4a-b511-b82d6b7afb39,580849,Landing Page Submission,Google,No,No,1,2.0,332,2.0,Email Opened,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,Not Sure,No,No,Potential Lead,Thane & Outskirts,No,No,Modified
9072,53f209d0-d223-4d29-b1e4-4f001dc10933,580799,API,Google,No,No,0,8.0,984,8.0,Email Opened,India,"Banking, Investment And Insurance",Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Potential Lead,Mumbai,No,No,Modified
9076,2011ba64-02ef-434a-b159-88968bb0d420,580775,Landing Page Submission,Google,No,No,1,4.0,1602,4.0,Email Opened,India,Operations Management,Other,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Cities,No,No,Email Opened
9077,823dd4ce-2b24-4547-ac4b-9c5e4025f6e0,580767,Landing Page Submission,Direct Traffic,No,No,0,9.0,191,1.5,Email Opened,India,Operations Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Potential Lead,Mumbai,No,Yes,Email Opened
9079,cf305edf-2244-4c65-9e06-e8c70b1b6943,580754,Landing Page Submission,Google,No,No,0,4.0,419,4.0,SMS Sent,India,Human Resource Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Thane & Outskirts,No,No,SMS Sent
9084,d8b8e1d7-6df8-401c-92fb-399ae19aaa3c,580725,Landing Page Submission,Google,No,No,1,4.0,1172,4.0,SMS Sent,India,E-COMMERCE,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Other Cities of Maharashtra,No,No,SMS Sent
9091,6dd4047a-18b4-4bf9-aeff-bf1d16414127,580688,Landing Page Submission,Google,No,No,1,9.0,924,3.0,Page Visited on Website,India,Human Resource Management,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Potential Lead,Thane & Outskirts,No,No,Page Visited on Website
9108,6e2bb2ce-9e9c-438e-be09-3ffda8537f61,580548,Landing Page Submission,Organic Search,No,No,0,4.0,1965,4.0,SMS Sent,India,Business Administration,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Mumbai,No,No,SMS Sent
9121,52f210b6-6e0f-4293-8384-22603dc817ba,580444,Landing Page Submission,Google,No,No,0,3.0,314,3.0,SMS Sent,India,Retail Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Potential Lead,Mumbai,No,No,SMS Sent
9126,2c7397ea-6e64-4174-be93-e661dd8af968,580422,Landing Page Submission,Google,No,No,1,2.0,1426,2.0,Email Opened,India,Finance Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,No,No,Email Opened
9130,1be9989a-a428-4ef6-819f-c35804ac4fb5,580405,Landing Page Submission,Google,No,No,1,4.0,852,4.0,Email Opened,Australia,Operations Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Thane & Outskirts,No,No,Email Opened
9132,6642edff-47b7-4548-8974-3dbea0789e70,580401,Landing Page Submission,Organic Search,No,No,0,17.0,119,2.83,Page Visited on Website,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Mumbai,No,No,Page Visited on Website
9138,2e9f60dd-3ed7-48da-b1de-2f8747e026b1,580373,Landing Page Submission,Google,No,No,1,14.0,376,2.8,SMS Sent,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
9149,19c1a007-9c74-48e7-bceb-53a73719e33d,580303,Landing Page Submission,Google,No,No,1,3.0,47,3.0,Page Visited on Website,India,E-Business,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,Modified
9151,5b7468fb-dff7-471c-813c-a951bd5da35d,580278,Landing Page Submission,Google,No,No,0,7.0,133,7.0,SMS Sent,India,Marketing Management,Social Media,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Mumbai,No,No,SMS Sent
9155,e4c7bb51-b93d-46d3-8eec-d2c4fa954a5c,580262,Landing Page Submission,Google,No,No,1,4.0,1234,1.33,Email Opened,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Potential Lead,Mumbai,No,No,Email Opened
9156,af8ebd7f-375a-40f9-967d-54d02b0e995b,580252,Landing Page Submission,Direct Traffic,No,No,0,4.0,336,4.0,Email Opened,India,"Banking, Investment And Insurance",Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Potential Lead,Mumbai,No,No,Email Opened
9162,bebe9383-c396-4224-ad35-463c4bcb7046,580198,API,Olark Chat,No,No,1,7.0,1516,3.5,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Cities,No,No,Email Opened
9169,f60adf78-2fba-4ace-af2c-594135b538fd,580143,Landing Page Submission,Google,No,No,1,4.0,1553,4.0,Email Opened,India,"Banking, Investment And Insurance",Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,No,No,Email Opened
9184,016fa193-dd06-4cc1-94d2-413dabda57d8,580013,Landing Page Submission,Google,No,No,0,5.0,72,1.67,Email Opened,India,Human Resource Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,Modified
9186,722962cb-c2c5-474b-9c10-b326bdd2d3b9,579992,Landing Page Submission,Google,No,No,1,6.0,612,6.0,SMS Sent,India,"Banking, Investment And Insurance",Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,No,No,SMS Sent
9190,cc92e085-aaa5-467a-a063-7c2c652e3684,579941,Landing Page Submission,Google,No,No,0,4.0,346,4.0,SMS Sent,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Potential Lead,Mumbai,No,No,SMS Sent
9192,40593f06-5bdb-440d-9a9e-402c7b2e14dc,579928,Landing Page Submission,Google,No,No,1,9.0,287,3.0,Page Visited on Website,India,Media and Advertising,Advertisements,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,No,No,Modified
9196,61f5ddfd-f8aa-41d6-9d9e-b1766cfaf10f,579918,Landing Page Submission,Google,No,No,1,5.0,1490,5.0,SMS Sent,India,Finance Management,Advertisements,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Other Cities of Maharashtra,No,No,SMS Sent
9197,0f2b2e0e-e168-46ae-b7e2-4a7ccc1a7344,579906,Landing Page Submission,Google,No,No,1,5.0,483,5.0,Email Opened,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Mumbai,No,No,Modified
